idno,gender,cong,art_count
49503,M,104,45
49503,M,105,279
49503,M,106,86
49503,M,107,90
14400,M,102,6
14400,M,103,13
14400,M,104,2
14400,M,105,5
14400,M,106,11
14400,M,107,10
14400,M,108,13
14400,M,109,25
14400,M,110,15
14400,M,111,15
14400,M,112,26
49903,M,106,36
49903,M,107,27
49903,M,108,60
49903,M,109,70
49903,M,110,50
49903,M,111,96
14304,M,104,0
14304,M,105,4
14304,M,102,0
14304,M,103,2
40102,F,107,82
40105,F,107,915
40105,F,108,775
40105,F,109,1543
40105,F,110,7279
49905,M,106,26
49905,M,107,84
49905,M,108,65
49905,M,109,164
40700,F,112,41
40700,F,110,49
40700,F,111,63
12107,M,104,1
12107,M,102,2
12107,M,103,9
49504,F,104,14
49502,M,104,1
49502,M,105,3
49502,M,106,2
49502,M,107,3
49502,M,108,7
49502,M,109,3
14105,M,102,204
14105,M,103,218
14105,M,104,332
14105,M,105,335
14105,M,106,302
14105,M,107,215
29566,M,112,331
29566,M,108,65
29566,M,109,238
29566,M,110,251
29566,M,111,434
14910,M,102,125
14910,M,103,43
14910,M,104,64
14910,M,105,27
14910,M,106,45
14910,M,107,63
14910,M,108,34
14910,M,109,21
14910,M,110,12
14910,M,111,14
11203,M,104,125
11203,M,102,42
11203,M,103,41
15502,M,102,53
15502,M,103,38
15502,M,104,37
15502,M,105,55
15502,M,106,87
15502,M,107,155
15502,M,108,247
15502,M,109,17
15502,M,110,28
15502,M,111,46
15502,M,112,21
49304,M,104,50
49304,M,105,85
49304,M,103,32
12109,M,102,33
12109,M,103,26
12109,M,104,45
12109,M,105,59
12109,M,106,97
12109,M,107,79
12109,M,108,135
12109,M,109,97
12109,M,110,242
14704,M,104,6
14704,M,102,7
14704,M,103,4
29534,M,112,14
29534,M,110,32
29534,M,111,19
40501,M,109,61
40501,M,110,93
40501,M,111,85
41104,M,112,247
49307,M,103,91
49307,M,104,62
49307,M,105,245
49307,M,106,106
49307,M,107,80
49307,M,108,62
49307,M,109,67
49307,M,110,115
49307,M,111,112
41102,M,112,423
14073,M,102,139
14073,M,103,146
10791,M,104,56
10791,M,102,62
10791,M,103,47
14506,M,102,54
14506,M,103,73
14506,M,104,241
14506,M,105,67
14506,M,106,68
14506,M,107,100
14506,M,108,102
14506,M,109,98
14506,M,110,118
14506,M,111,180
14506,M,112,223
29735,M,112,69
